"WTSBA25.Code.or.Value","WTSBA25.Value.Description","WTSBA25.Count","WTSBA25.Cumulative","WTSBA25.Skip.to.Item"
"0 to 350470.2136","Range of Values",946,946,NA
".","Missing",65,1011,NA
