"WTSPP47.Code.or.Value","WTSPP47.Value.Description","WTSPP47.Count","WTSPP47.Cumulative","WTSPP47.Skip.to.Item"
"0 to 809089.27776","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
