"DR2IBCAR.Code.or.Value","DR2IBCAR.Value.Description","DR2IBCAR.Count","DR2IBCAR.Cumulative","DR2IBCAR.Skip.to.Item"
"0 to 133963","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
