"OHD730.Code.or.Value","OHD730.Value.Description","OHD730.Count","OHD730.Cumulative","OHD730.Skip.to.Item"
"1","Yes",594,594,NA
"2","No",4873,5467,NA
"7","Refused",1,5468,NA
"9","Don't know",152,5620,NA
".","Missing",3684,9304,NA
