"SSOXY.Code.or.Value","SSOXY.Value.Description","SSOXY.Count","SSOXY.Cumulative","SSOXY.Skip.to.Item"
"0.3 to 48.6","Range of Values",78,78,NA
".","Missing",0,78,NA
