"AUDTYR67.Code.or.Value","AUDTYR67.Value.Description","AUDTYR67.Count","AUDTYR67.Cumulative","AUDTYR67.Skip.to.Item"
"0 to 1.63","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
