"LBDII6LC.Code.or.Value","LBDII6LC.Value.Description","LBDII6LC.Count","LBDII6LC.Cumulative","LBDII6LC.Skip.to.Item"
"0","At or above the detection limit",1057,1057,NA
"1","Below lower detection limit",7262,8319,NA
"2","Above upper detection limit",0,8319,NA
".","Missing",1121,9440,NA
