"WTSSBH2Y.Code.or.Value","WTSSBH2Y.Value.Description","WTSSBH2Y.Count","WTSSBH2Y.Cumulative","WTSSBH2Y.Skip.to.Item"
"18617.10368 to 503724.60594","Range of Values",2328,2328,NA
"0","No lab specimen",0,2328,NA
".","Missing",0,2328,NA
