"OHD14LAM.Code.or.Value","OHD14LAM.Value.Description","OHD14LAM.Count","OHD14LAM.Cumulative","OHD14LAM.Skip.to.Item"
"0 to 9","Range of Values",2053,2053,NA
"99","Calculation cannot be determined",502,2555,NA
".","Missing",4163,6718,NA
