"MPQ120D.Code.or.Value","MPQ120D.Value.Description","MPQ120D.Count","MPQ120D.Cumulative","MPQ120D.Skip.to.Item"
"13","Shoulder girdle - left",212,212,NA
".","Missing",4829,5041,NA
