"AUXRR115.Code.or.Value","AUXRR115.Value.Description","AUXRR115.Count","AUXRR115.Cumulative","AUXRR115.Skip.to.Item"
"-41 to 63","Range of Values",3836,3836,NA
".","Missing",664,4500,NA
