"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1487,1487,""
"2","No",5378,6865,"FSQBOX6"
"7","Refused",6,6871,"FSQBOX6"
"9","Don't know",18,6889,"FSQBOX6"
".","Missing",2365,9254,""
