"CIQDPF.Code.or.Value","CIQDPF.Value.Description","CIQDPF.Count","CIQDPF.Cumulative","CIQDPF.Skip.to.Item"
"1","Yes",1,1,"CIDDPRB"
"2","No",0,1,"CIDDPRB"
"7","Refuse",0,1,"CIDDPRB"
"9","Don't know",0,1,"CIDDPRB"
".","Missing",849,850,""
