"LBDODTLC.Code.or.Value","LBDODTLC.Value.Description","LBDODTLC.Count","LBDODTLC.Cumulative","LBDODTLC.Skip.to.Item"
"0","At or above the detection limit",13,13,NA
"1","Below lower detection limit",251,264,NA
".","Missing",0,264,NA
