"WTSAU09.Code.or.Value","WTSAU09.Value.Description","WTSAU09.Count","WTSAU09.Cumulative","WTSAU09.Skip.to.Item"
"0 to 480856.35606","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
