"CBD090.Code.or.Value","CBD090.Value.Description","CBD090.Count","CBD090.Cumulative","CBD090.Skip.to.Item"
"0 to 1542","Range of Values",9813,9813,NA
"777777","Refused",14,9827,NA
"999999","Don't know",216,10043,NA
".","Missing",132,10175,NA
