"CVDEXLEN.Code.or.Value","CVDEXLEN.Value.Description","CVDEXLEN.Count","CVDEXLEN.Cumulative","CVDEXLEN.Skip.to.Item"
"0 to 35.53","Range of Values",4663,4663,NA
".","Missing",0,4663,NA
