"DBQ920.Code.or.Value","DBQ920.Value.Description","DBQ920.Count","DBQ920.Cumulative","DBQ920.Skip.to.Item"
"1","Yes",832,832,""
"2","No",9256,10088,"DBQ715a"
"7","Refused",1,10089,"DBQ715a"
"9","Don't know",20,10109,"DBQ715a"
".","Missing",428,10537,""
