"OPDUD500.Code.or.Value","OPDUD500.Value.Description","OPDUD500.Count","OPDUD500.Cumulative","OPDUD500.Skip.to.Item"
"0","No",3071,3071,NA
"1","Yes",124,3195,NA
".","Missing",668,3863,NA
