"DXXPT62Y.Code.or.Value","DXXPT62Y.Value.Description","DXXPT62Y.Count","DXXPT62Y.Cumulative","DXXPT62Y.Skip.to.Item"
"102 to 310.5","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
