"WTSAU49.Code.or.Value","WTSAU49.Value.Description","WTSAU49.Count","WTSAU49.Cumulative","WTSAU49.Skip.to.Item"
"0 to 477789.86179","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
