"FSQ171.Code.or.Value","FSQ171.Value.Description","FSQ171.Count","FSQ171.Cumulative","FSQ171.Skip.to.Item"
"1","Yes",2964,2964,""
"2","No",635,3599,"FSQ162"
"7","Refused",8,3607,"FSQ162"
"9","Don't know",2,3609,"FSQ162"
".","Missing",6147,9756,""
