"VTQ250B.Code.or.Value","VTQ250B.Value.Description","VTQ250B.Count","VTQ250B.Cumulative","VTQ250B.Skip.to.Item"
"3 to 72","Range of Values",77,77,NA
"777","Refused",0,77,NA
"999","Don't know",0,77,NA
".","Missing",3217,3294,NA
