"SXD240.Code.or.Value","SXD240.Value.Description","SXD240.Count","SXD240.Cumulative","SXD240.Skip.to.Item"
"0 to 16","Range of Values",466,466,""
"77777","Refused",0,466,"SXQ260"
"99999","Don't know",0,466,"SXQ260"
".","Missing",2933,3399,""
