"LBDDFSLC.Code.or.Value","LBDDFSLC.Value.Description","LBDDFSLC.Count","LBDDFSLC.Cumulative","LBDDFSLC.Skip.to.Item"
"0","At or above limit of detection",958,958,NA
"1","Below limit of detection",165,1123,NA
".","Missing",144,1267,NA
