"LBXVAR.Code.or.Value","LBXVAR.Value.Description","LBXVAR.Count","LBXVAR.Cumulative","LBXVAR.Skip.to.Item"
"0 to 29.65","Range of Values",5138,5138,NA
".","Missing",517,5655,NA
