"RFXT082.Code.or.Value","RFXT082.Value.Description","RFXT082.Count","RFXT082.Cumulative","RFXT082.Skip.to.Item"
"707 to 716","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
