"RFXT066.Code.or.Value","RFXT066.Value.Description","RFXT066.Count","RFXT066.Cumulative","RFXT066.Skip.to.Item"
"566 to 575","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
