"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",2297,2297,NA
"1","Below lower detection limit",511,2808,NA
".","Missing",171,2979,NA
