"RFXC085.Code.or.Value","RFXC085.Value.Description","RFXC085.Count","RFXC085.Cumulative","RFXC085.Skip.to.Item"
"-7.428 to 5.124","Range of Values",33695,33695,NA
".","Missing",26,33721,NA
