"SPFNALC.Code.or.Value","SPFNALC.Value.Description","SPFNALC.Count","SPFNALC.Cumulative","SPFNALC.Skip.to.Item"
"0","At or above the detection limit",1397,1397,NA
"1","Below lower detection limit",59,1456,NA
".","Missing",0,1456,NA
