"SSGLYPL.Code.or.Value","SSGLYPL.Value.Description","SSGLYPL.Count","SSGLYPL.Cumulative","SSGLYPL.Skip.to.Item"
"0","At or above the detection limit",1885,1885,NA
"1","Below lower detection limit",425,2310,NA
".","Missing",6,2316,NA
