"OHQ490k.Code.or.Value","OHQ490k.Value.Description","OHQ490k.Count","OHQ490k.Cumulative","OHQ490k.Skip.to.Item"
"1","Checked",528,528,NA
"77","Refused",0,528,NA
"99","Don't know",8,536,NA
".","Missing",8311,8847,NA
