"BIXC015K.Code.or.Value","BIXC015K.Value.Description","BIXC015K.Count","BIXC015K.Cumulative","BIXC015K.Skip.to.Item"
"20.75 to 528.1","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
