"MCQ240u.Code.or.Value","MCQ240u.Value.Description","MCQ240u.Count","MCQ240u.Cumulative","MCQ240u.Skip.to.Item"
"46 to 78","Range of Values",92,92,NA
"80","80 years or older",5,97,NA
"77777","Refused",0,97,NA
"99999","Don't know",0,97,NA
".","Missing",9478,9575,NA
