"MCQ340.Code.or.Value","MCQ340.Value.Description","MCQ340.Count","MCQ340.Cumulative","MCQ340.Skip.to.Item"
"0 to 20","Range of Values",1042,1042,NA
"777","Refused",0,1042,NA
"999","Don't know",47,1089,NA
".","Missing",8577,9666,NA
