"DX2LLBMC.Code.or.Value","DX2LLBMC.Value.Description","DX2LLBMC.Count","DX2LLBMC.Cumulative","DX2LLBMC.Skip.to.Item"
"233.14 to 849.27","Range of Values",467,467,NA
".","Missing",18,485,NA
