"DX2TRFAT.Code.or.Value","DX2TRFAT.Value.Description","DX2TRFAT.Count","DX2TRFAT.Cumulative","DX2TRFAT.Skip.to.Item"
"2516.6 to 36126.7","Range of Values",443,443,NA
".","Missing",42,485,NA
