"WTSPP2YR.Code.or.Value","WTSPP2YR.Value.Description","WTSPP2YR.Count","WTSPP2YR.Cumulative","WTSPP2YR.Skip.to.Item"
"3528.5019152 to 663502.47832","Range of Values",3097,3097,NA
"0","Non-Respondent",55,3152,NA
".","Missing",0,3152,NA
