"WTSHM37.Code.or.Value","WTSHM37.Value.Description","WTSHM37.Count","WTSHM37.Cumulative","WTSHM37.Skip.to.Item"
"0.0000000 to 746102.1158400","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
