"KIQ161.Code.or.Value","KIQ161.Value.Description","KIQ161.Count","KIQ161.Cumulative","KIQ161.Skip.to.Item"
"19 to 79","Range of Values",319,319,NA
"80","80 or greater years",13,332,NA
"777","Refused",0,332,NA
"999","Don't know",6,338,NA
".","Missing",5369,5707,NA
