"LBXEPA.Code.or.Value","LBXEPA.Value.Description","LBXEPA.Count","LBXEPA.Cumulative","LBXEPA.Skip.to.Item"
"0.56 to 1090","Range of Values",4421,4421,NA
".","Missing",1222,5643,NA
