"LBDRUIU.Code.or.Value","LBDRUIU.Value.Description","LBDRUIU.Count","LBDRUIU.Cumulative","LBDRUIU.Skip.to.Item"
"1 to 320","Range of Values",5138,5138,NA
".","Missing",517,5655,NA
