"MPQ080.Code.or.Value","MPQ080.Value.Description","MPQ080.Count","MPQ080.Cumulative","MPQ080.Skip.to.Item"
"1","Yes",597,597,NA
"2","No",1310,1907,NA
"7","Refused",0,1907,NA
"9","Don't know",5,1912,NA
".","Missing",3129,5041,NA
