"DXXPT21X.Code.or.Value","DXXPT21X.Value.Description","DXXPT21X.Count","DXXPT21X.Cumulative","DXXPT21X.Skip.to.Item"
"711.4 to 1245.6","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
