"LBDD01LC.Code.or.Value","LBDD01LC.Value.Description","LBDD01LC.Count","LBDD01LC.Cumulative","LBDD01LC.Skip.to.Item"
"0","At or above the detection limit",289,289,NA
"1","Below lower detection limit",3,292,NA
".","Missing",9,301,NA
