"HSQ520.Code.or.Value","HSQ520.Value.Description","HSQ520.Count","HSQ520.Cumulative","HSQ520.Skip.to.Item"
"1","Yes",345,345,NA
"2","No",7173,7518,NA
"7","Refused",9,7527,NA
"9","Don't know",16,7543,NA
".","Missing",823,8366,NA
