"CIQG32.Code.or.Value","CIQG32.Value.Description","CIQG32.Count","CIQG32.Cumulative","CIQG32.Skip.to.Item"
"0 to 12","Range of Values",20,20,NA
"77","Refused",0,20,NA
"99","Don't know",0,20,NA
".","Missing",830,850,NA
