"LEARPTPD.Code.or.Value","LEARPTPD.Value.Description","LEARPTPD.Count","LEARPTPD.Cumulative","LEARPTPD.Skip.to.Item"
"1","Yes",277,277,NA
"2","No",53,330,NA
"8","Could not obtain",0,330,NA
".","Missing",2756,3086,NA
