"URXDPY.Code.or.Value","URXDPY.Value.Description","URXDPY.Count","URXDPY.Cumulative","URXDPY.Skip.to.Item"
"0.14 to 599.92","Range of Values",2981,2981,NA
".","Missing",171,3152,NA
