"TYXP153.Code.or.Value","TYXP153.Value.Description","TYXP153.Count","TYXP153.Cumulative","TYXP153.Skip.to.Item"
"-295 to 123","Range of Values",2986,2986,NA
".","Missing",2599,5585,NA
