"RFXT156.Code.or.Value","RFXT156.Value.Description","RFXT156.Count","RFXT156.Cumulative","RFXT156.Skip.to.Item"
"1362 to 1371","Range of Values",33668,33668,NA
".","Missing",53,33721,NA
