"DBD905.Code.or.Value","DBD905.Value.Description","DBD905.Count","DBD905.Cumulative","DBD905.Skip.to.Item"
"1 to 90","Range of Values",3007,3007,NA
"0","Never",5799,8806,NA
"6666","More than 90 times in 30 days",1,8807,NA
"7777","Refused",0,8807,NA
"9999","Don't know",29,8836,NA
".","Missing",418,9254,NA
