"URDDPYLC.Code.or.Value","URDDPYLC.Value.Description","URDDPYLC.Count","URDDPYLC.Cumulative","URDDPYLC.Skip.to.Item"
"0","detectable result",207,207,NA
"1","below detectable limit",2774,2981,NA
".","Missing",171,3152,NA
