"WTSCY4YR.Code.or.Value","WTSCY4YR.Value.Description","WTSCY4YR.Count","WTSCY4YR.Cumulative","WTSCY4YR.Skip.to.Item"
"0 to 376844.2148","Range of Values",2800,2800,NA
".","Missing",0,2800,NA
