"WBXP071.Code.or.Value","WBXP071.Value.Description","WBXP071.Count","WBXP071.Cumulative","WBXP071.Skip.to.Item"
"-122.5004 to 107.6497","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
