"LBDPFLLC.Code.or.Value","LBDPFLLC.Value.Description","LBDPFLLC.Count","LBDPFLLC.Cumulative","LBDPFLLC.Skip.to.Item"
"0","At or above the detection limit",1475,1475,NA
"1","Below lower detection limit",670,2145,NA
".","Missing",402,2547,NA
