"PAQ759j.Code.or.Value","PAQ759j.Value.Description","PAQ759j.Count","PAQ759j.Cumulative","PAQ759j.Skip.to.Item"
"10","SOCCER",213,213,NA
".","Missing",9042,9255,NA
