"VTD251B.Code.or.Value","VTD251B.Value.Description","VTD251B.Count","VTD251B.Cumulative","VTD251B.Skip.to.Item"
"2 to 48","Range of Values",92,92,NA
"0","Less than one hour",0,92,NA
"77","Refused",0,92,NA
"99","Don't know",0,92,NA
".","Missing",3080,3172,NA
