"DSDMM1LC.Code.or.Value","DSDMM1LC.Value.Description","DSDMM1LC.Count","DSDMM1LC.Cumulative","DSDMM1LC.Skip.to.Item"
"0","At or above the detection limit",5870,5870,NA
"1","Below lower detection limit",1087,6957,NA
".","Missing",2483,9440,NA
