"TBQ030.Code.or.Value","TBQ030.Value.Description","TBQ030.Count","TBQ030.Cumulative","TBQ030.Skip.to.Item"
"1","Yes",174,174,""
"2","No",209,383,"TBQ040"
"7","Refused",0,383,"TBQ040"
"9","Don't know",2,385,"TBQ040"
".","Missing",7776,8161,""
