"WTSPH43.Code.or.Value","WTSPH43.Value.Description","WTSPH43.Count","WTSPH43.Cumulative","WTSPH43.Skip.to.Item"
"0 to 789336.29035","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
