"URXMU6.Code.or.Value","URXMU6.Value.Description","URXMU6.Count","URXMU6.Cumulative","URXMU6.Skip.to.Item"
"0.021 to 48.2","Range of Values",2621,2621,NA
".","Missing",138,2759,NA
