"BIXC898K.Code.or.Value","BIXC898K.Value.Description","BIXC898K.Count","BIXC898K.Cumulative","BIXC898K.Skip.to.Item"
"8.65 to 2109.57","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
